Header,Data
2024/01 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Nordeste	Pernambuco	2024/06	237
Nordeste	Piaui	2024/06	345
Nordeste	Rio Grande Do Norte	2024/06	213
Nordeste	Sergipe	2024/06	24
Norte	Acre	2024/06	187
Norte	Amapa	2024/06	370
Norte	Amazonas	2024/06	481
Norte	Para	2024/06	689
Norte	Rondonia	2024/06	229
Norte	Roraima	2024/06	6
Norte	Tocantins	2024/06	107
Sudeste	Espirito Santo	2024/06	4,304
Sudeste	Minas Gerais	2024/06	83,750
Sudeste	Rio De Janeiro	2024/06	16,715
Sudeste	Sao Paulo	2024/06	31,286
Sul	Parana	2024/06	15,128
Sul	Rio Grande Do Sul	2024/06	2,695
Sul	Santa Catarina	2024/06	3,881"
2024/07 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/07	21,456
Centro-Oeste	Goias	2024/07	14,999
Centro-Oeste	Mato Grosso	2024/07	1,645
Centro-Oeste	Mato Grosso Do Sul	2024/07	815
Nordeste	Alagoas	2024/07	252
Nordeste	Bahia	2024/07	5,674
Nordeste	Ceara	2024/07	203
Nordeste	Maranhao	2024/07	408
Nordeste	Paraiba	2024/07	303
Nordeste	Pernambuco	2024/07	426
Nordeste	Piaui	2024/07	461
Nordeste	Rio Grande Do Norte	2024/07	391
Nordeste	Sergipe	2024/07	51
Norte	Acre	2024/07	139
Norte	Amapa	2024/07	499
Norte	Amazonas	2024/07	463
Norte	Para	2024/07	1,060
Norte	Rondonia	2024/07	284
Norte	Roraima	2024/07	22
Norte	Tocantins	2024/07	113
Sudeste	Espirito Santo	2024/07	6,142
Sudeste	Minas Gerais	2024/07	96,857
Sudeste	Rio De Janeiro	2024/07	22,740
Sudeste	Sao Paulo	2024/07	43,752
Sul	Parana	2024/07	20,352
Sul	Rio Grande Do Sul	2024/07	4,468
Sul	Santa Catarina	2024/07	6,510"
2024/08 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/08	23,138
Centro-Oeste	Goias	2024/08	17,265
Centro-Oeste	Mato Grosso	2024/08	1,905
Centro-Oeste	Mato Grosso Do Sul	2024/08	817
Nordeste	Alagoas	2024/08	504
Nordeste	Bahia	2024/08	10,311
Nordeste	Ceara	2024/08	283
Nordeste	Maranhao	2024/08	621
Nordeste	Paraiba	2024/08	630
Nordeste	Pernambuco	2024/08	756
Nordeste	Piaui	2024/08	700
Nordeste	Rio Grande Do Norte	2024/08	748
Nordeste	Sergipe	2024/08	96
Norte	Acre	2024/08	142
Norte	Amapa	2024/08	569
Norte	Amazonas	2024/08	444
Norte	Para	2024/08	1,136
Norte	Rondonia	2024/08	543
Norte	Roraima	2024/08	16
Norte	Tocantins	2024/08	145
Sudeste	Espirito Santo	2024/08	8,514
Sudeste	Minas Gerais	2024/08	120,113
Sudeste	Rio De Janeiro	2024/08	27,111
Sudeste	Sao Paulo	2024/08	55,108
Sul	Parana	2024/08	24,527
Sul	Rio Grande Do Sul	2024/08	5,805
Sul	Santa Catarina	2024/08	9,668"
2024/09 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/09	21,759
Centro-Oeste	Goias	2024/09	17,799
Centro-Oeste	Mato Grosso	2024/09	1,796
Centro-Oeste	Mato Grosso Do Sul	2024/09	864
Nordeste	Alagoas	2024/09	559
Nordeste	Bahia	2024/09	13,993
Nordeste	Ceara	2024/09	408
Nordeste	Maranhao	2024/09	760
Nordeste	Paraiba	2024/09	866
Nordeste	Pernambuco	2024/09	998
Nordeste	Piaui	2024/09	679
Nordeste	Rio Grande Do Norte	2024/09	924
Nordeste	Sergipe	2024/09	97
Norte	Acre	2024/09	123
Norte	Amapa	2024/09	655
Norte	Amazonas	2024/09	418
Norte	Para	2024/09	1,218
Norte	Rondonia	2024/09	544
Norte	Roraima	2024/09	7
Norte	Tocantins	2024/09	210
Sudeste	Espirito Santo	2024/09	10,626
Sudeste	Minas Gerais	2024/09	126,452
Sudeste	Rio De Janeiro	2024/09	26,623
