DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Período:2025
"Município de residência";"Casos_Prováveis"
"110001 ALTA FLORESTA D'OESTE";46
"110002 ARIQUEMES";64
"110003 CABIXI";14
"110004 CACOAL";38
"110005 CEREJEIRAS";11
"110006 COLORADO DO OESTE";8
"110007 CORUMBIARA";59
"110008 COSTA MARQUES";7
"110009 ESPIGAO D'OESTE";33
"110010 GUAJARA-MIRIM";5
"110011 JARU";25
"110012 JI-PARANA";52
"110013 MACHADINHO D'OESTE";10
"110014 NOVA BRASILANDIA D'OESTE";7
"110015 OURO PRETO DO OESTE";9
"110018 PIMENTA BUENO";3
"110020 PORTO VELHO";109
"110025 PRESIDENTE MEDICI";94
"110028 ROLIM DE MOURA";134
"110029 SANTA LUZIA D'OESTE";14
"110030 VILHENA";923
"110032 SAO MIGUEL DO GUAPORE";5
"110033 NOVA MAMORE";16
"110034 ALVORADA D'OESTE";4
"110037 ALTO ALEGRE DOS PARECIS";28
"110040 ALTO PARAISO";18
"110045 BURITIS";16
"110050 NOVO HORIZONTE DO OESTE";2
"110060 CACAULANDIA";8
"110070 CAMPO NOVO DE RONDONIA";6
"110080 CANDEIAS DO JAMARI";3
"110090 CASTANHEIRAS";8
"110092 CHUPINGUAIA";9
"110094 CUJUBIM";8
"110100 GOVERNADOR JORGE TEIXEIRA";1
"110110 ITAPUA DO OESTE";1
"110130 MIRANTE DA SERRA";5
"110140 MONTE NEGRO";2
"110143 NOVA UNIAO";14
"110145 PARECIS";2
"110146 PIMENTEIRAS DO OESTE";10
"110147 PRIMAVERA DE RONDONIA";8
"110148 SAO FELIPE D'OESTE";4
"110149 SAO FRANCISCO DO GUAPORE";16
"110150 SERINGUEIRAS";10
"110155 TEIXEIROPOLIS";1
"110170 URUPA";4
"110175 VALE DO ANARI";23
"110180 VALE DO PARAISO";2
"120001 ACRELANDIA";23
"120005 ASSIS BRASIL";60
"120010 BRASILEIA";17
"120013 BUJARI";56
"120017 CAPIXABA";26
"120020 CRUZEIRO DO SUL";2116
"120025 EPITACIOLANDIA";50
"120030 FEIJO";495
"120032 JORDAO";4
"120033 MANCIO LIMA";62
"120034 MANOEL URBANO";56
"120035 MARECHAL THAUMATURGO";133
"120038 PLACIDO DE CASTRO";24
"120039 PORTO WALTER";230
"120040 RIO BRANCO";3313
"120042 RODRIGUES ALVES";268
"120045 SENADOR GUIOMARD";79
"120050 SENA MADUREIRA";100
"120060 TARAUACA";565
"120070 XAPURI";98
"120080 PORTO ACRE";75
"130002 ALVARAES";5
"130008 ANAMA";1
"130010 ANORI";2
"130020 ATALAIA DO NORTE";548
"130030 AUTAZES";3
"130040 BARCELOS";5
"130060 BENJAMIN CONSTANT";256
"130063 BERURI";3
"130068 BOA VISTA DO RAMOS";1
"130070 BOCA DO ACRE";18
"130080 BORBA";14
"130083 CAAPIRANGA";2
"130090 CANUTAMA";24
