DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Período:2025
"Município de residência";"Casos_Prováveis"
"110001 ALTA FLORESTA D'OESTE";33
"110002 ARIQUEMES";5
"110003 CABIXI";7
"110004 CACOAL";10
"110005 CEREJEIRAS";2
"110006 COLORADO DO OESTE";7
"110007 CORUMBIARA";31
"110008 COSTA MARQUES";3
"110009 ESPIGAO D'OESTE";11
"110010 GUAJARA-MIRIM";1
"110011 JARU";15
"110012 JI-PARANA";18
"110013 MACHADINHO D'OESTE";9
"110014 NOVA BRASILANDIA D'OESTE";4
"110015 OURO PRETO DO OESTE";3
"110018 PIMENTA BUENO";1
"110020 PORTO VELHO";59
"110025 PRESIDENTE MEDICI";69
"110028 ROLIM DE MOURA";19
"110029 SANTA LUZIA D'OESTE";3
"110030 VILHENA";258
"110032 SAO MIGUEL DO GUAPORE";1
"110033 NOVA MAMORE";8
"110034 ALVORADA D'OESTE";3
"110037 ALTO ALEGRE DOS PARECIS";13
"110040 ALTO PARAISO";5
"110045 BURITIS";14
"110060 CACAULANDIA";6
"110070 CAMPO NOVO DE RONDONIA";9
"110080 CANDEIAS DO JAMARI";3
"110092 CHUPINGUAIA";2
"110094 CUJUBIM";4
"110100 GOVERNADOR JORGE TEIXEIRA";1
"110110 ITAPUA DO OESTE";1
"110130 MIRANTE DA SERRA";3
"110140 MONTE NEGRO";2
"110143 NOVA UNIAO";3
"110147 PRIMAVERA DE RONDONIA";5
"110148 SAO FELIPE D'OESTE";2
"110149 SAO FRANCISCO DO GUAPORE";6
"110150 SERINGUEIRAS";5
"110155 TEIXEIROPOLIS";1
"110160 THEOBROMA";1
"110170 URUPA";4
"110175 VALE DO ANARI";10
"110180 VALE DO PARAISO";1
"120001 ACRELANDIA";17
"120005 ASSIS BRASIL";32
"120010 BRASILEIA";60
"120013 BUJARI";43
"120017 CAPIXABA";17
"120020 CRUZEIRO DO SUL";2293
"120025 EPITACIOLANDIA";35
"120030 FEIJO";395
"120032 JORDAO";3
"120033 MANCIO LIMA";29
"120034 MANOEL URBANO";73
"120035 MARECHAL THAUMATURGO";110
"120038 PLACIDO DE CASTRO";8
"120039 PORTO WALTER";199
"120040 RIO BRANCO";2778
"120042 RODRIGUES ALVES";348
"120045 SENADOR GUIOMARD";101
"120050 SENA MADUREIRA";77
"120060 TARAUACA";693
"120070 XAPURI";68
"120080 PORTO ACRE";47
"130002 ALVARAES";2
"130008 ANAMA";1
"130020 ATALAIA DO NORTE";103
"130030 AUTAZES";1
"130040 BARCELOS";1
"130060 BENJAMIN CONSTANT";289
"130063 BERURI";6
"130070 BOCA DO ACRE";11
"130080 BORBA";7
"130083 CAAPIRANGA";1
"130100 CARAUARI";5
"130110 CAREIRO";3
"130120 COARI";29
"130130 CODAJAS";45
"130140 EIRUNEPE";143
"130150 ENVIRA";279
"130160 FONTE BOA";1
"130165 GUAJARA";181
"130170 HUMAITA";6
"130180 IPIXUNA";237
"130185 IRANDUBA";12
"130190 ITACOATIARA";7
"130210 JAPURA";19
"130220 JURUA";3
"130230 JUTAI";156
"130240 LABREA";37
"130250 MANACAPURU";40
"130260 MANAUS";459
"130270 MANICORE";5
"130280 MARAA";15
"130290 MAUES";29
"130320 NOVO AIRAO";38
"130330 NOVO ARIPUANA";2
"130353 PRESIDENTE FIGUEIREDO";8
"130356 RIO PRETO DA EVA";1
"130370 SANTO ANTONIO DO ICA";14
"130380 SAO GABRIEL DA CACHOEIRA";1
"130406 TABATINGA";81
"130410 TAPAUA";8
"130420 TEFE";23
"130423 TONANTINS";109
"130426 UARINI";1
"140002 AMAJARI";3
"140005 ALTO ALEGRE";1
"140010 BOA VISTA";96
"140015 BONFIM";1
"140017 CANTA";2
"140020 CARACARAI";1
"140028 IRACEMA";5
"140030 MUCAJAI";3
"140040 NORMANDIA";2
"140045 PACARAIMA";7
"140050 SAO JOAO DA BALIZA";3
"150010 ABAETETUBA";80
"150013 ABEL FIGUEIREDO";4
"150020 ACARA";15
"150030 AFUA";35
"150040 ALENQUER";4
"150060 ALTAMIRA";296
"150070 ANAJAS";47
"150080 ANANINDEUA";129
"150085 ANAPU";506
"150090 AUGUSTO CORREA";2
"150095 AURORA DO PARA";16
"150100 AVEIRO";51
"150110 BAGRE";1
"150120 BAIAO";8
"150125 BANNACH";6
"150130 BARCARENA";105
"150140 BELEM";341
"150145 BELTERRA";9
"150150 BENEVIDES";77
"150157 BOM JESUS DO TOCANTINS";10
"150160 BONITO";1
"150170 BRAGANCA";12
"150172 BRASIL NOVO";30
"150175 BREJO GRANDE DO ARAGUAIA";4
"150178 BREU BRANCO";47
"150180 BREVES";2
"150190 BUJARU";27
"150210 CAMETA";36
"150215 CANAA DOS CARAJAS";91
"150220 CAPANEMA";6
"150230 CAPITAO POCO";1
"150240 CASTANHAL";111
"150260 COLARES";16
"150270 CONCEICAO DO ARAGUAIA";323
"150275 CONCORDIA DO PARA";4
"150276 CUMARU DO NORTE";11
"150277 CURIONOPOLIS";16
"150280 CURRALINHO";12
"150285 CURUA";1
"150290 CURUCA";5
"150293 DOM ELISEU";22
"150295 ELDORADO DOS CARAJAS";64
"150304 FLORESTA DO ARAGUAIA";85
"150307 GARRAFAO DO NORTE";1
"150309 GOIANESIA DO PARA";6
"150310 GURUPA";2
"150320 IGARAPE-ACU";10
"150330 IGARAPE-MIRI";8
"150340 INHANGAPI";95
"150345 IPIXUNA DO PARA";2
"150350 IRITUIA";2
"150360 ITAITUBA";1156
"150370 ITUPIRANGA";28
"150375 JACAREACANGA";3
"150380 JACUNDA";206
"150390 JURUTI";3
"150400 LIMOEIRO DO AJURU";4
"150405 MAE DO RIO";1
"150420 MARABA";42
"150430 MARACANA";1
"150442 MARITUBA";81
"150445 MEDICILANDIA";7
"150450 MELGACO";4
"150460 MOCAJUBA";3
"150470 MOJU";9
