DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Período:2025
"Município de residência";"Casos_Prováveis"
"110001 ALTA FLORESTA D'OESTE";9
"110002 ARIQUEMES";7
"110003 CABIXI";23
"110004 CACOAL";25
"110005 CEREJEIRAS";6
"110006 COLORADO DO OESTE";8
"110007 CORUMBIARA";31
"110008 COSTA MARQUES";3
"110009 ESPIGAO D'OESTE";13
"110010 GUAJARA-MIRIM";1
"110011 JARU";15
"110012 JI-PARANA";35
"110013 MACHADINHO D'OESTE";9
"110014 NOVA BRASILANDIA D'OESTE";4
"110015 OURO PRETO DO OESTE";5
"110018 PIMENTA BUENO";1
"110020 PORTO VELHO";76
"110025 PRESIDENTE MEDICI";124
"110028 ROLIM DE MOURA";65
"110029 SANTA LUZIA D'OESTE";3
"110030 VILHENA";272
"110032 SAO MIGUEL DO GUAPORE";5
"110033 NOVA MAMORE";11
"110034 ALVORADA D'OESTE";3
"110037 ALTO ALEGRE DOS PARECIS";26
"110040 ALTO PARAISO";15
"110045 BURITIS";14
"110050 NOVO HORIZONTE DO OESTE";1
"110060 CACAULANDIA";7
"110070 CAMPO NOVO DE RONDONIA";14
"110080 CANDEIAS DO JAMARI";3
"110090 CASTANHEIRAS";5
"110092 CHUPINGUAIA";3
"110094 CUJUBIM";8
"110100 GOVERNADOR JORGE TEIXEIRA";1
"110110 ITAPUA DO OESTE";1
"110130 MIRANTE DA SERRA";3
"110140 MONTE NEGRO";2
"110143 NOVA UNIAO";10
"110145 PARECIS";1
"110146 PIMENTEIRAS DO OESTE";3
"110147 PRIMAVERA DE RONDONIA";5
"110148 SAO FELIPE D'OESTE";4
"110149 SAO FRANCISCO DO GUAPORE";31
"110150 SERINGUEIRAS";7
"110155 TEIXEIROPOLIS";1
"110170 URUPA";4
"110175 VALE DO ANARI";11
"120001 ACRELANDIA";10
"120005 ASSIS BRASIL";55
"120010 BRASILEIA";35
"120013 BUJARI";51
"120017 CAPIXABA";20
"120020 CRUZEIRO DO SUL";2198
"120025 EPITACIOLANDIA";35
"120030 FEIJO";449
